Name,Price,Category,Shop,Link
Woolworths NZ Fresh Salmon Fillets 1-2 Pce Tray,$ 46 70 kg,Fish & Seafood,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=76719&name=woolworths-nz-fresh-salmon-fillets-1-2-pce-tray
Cleanskin Sauvignon Blanc,$ 8 09,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=914142&name=cleanskin-sauvignon-blanc
Big Black Sacks Low Cost Rubbish Bags,$ 1 79,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=268840&name=big-black-sacks-low-cost-rubbish-bags
Woolworths Butter Salted,$ 4 39,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=827847&name=woolworths-butter-salted
Lindt Lindor Easter Egg Milk,$ 2 00,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=745818&name=lindt-lindor-easter-egg-milk
Ocean Blue Sliced Salmon Natural,$ 8 00,Fish & Seafood,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=390141&name=ocean-blue-sliced-salmon-natural
Essentials Tissues Facial,$ 2 50,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=838859&name=essentials-tissues-facial
The Ned Rose,$ 16 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=942391&name=the-ned-rose
Woolworths Milk Standard,$ 5 58,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=282768&name=woolworths-milk-standard
Cadbury Creme Egg,$ 1 90,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=253326&name=cadbury-creme-egg
Ocean Blue Smoked Salmon Slices,$ 14 80,Fish & Seafood,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=830035&name=ocean-blue-smoked-salmon-slices
Paseo Luxury Toilet Paper 12pk White 3 Ply,$ 9 50,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=369963&name=paseo-luxury-toilet-paper-12pk-white-3-ply
Squealing Pig Rose,$ 19 99,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=462559&name=squealing-pig-rose
Woolworths Puff Pastry 1kg,$ 6 20,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=18366&name=woolworths-puff-pastry-1kg
Anchor Butter,$ 6 00,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=281759&name=anchor-butter
Regal Smoked Salmon NZ King Sliced,$ 18 00,Fish & Seafood,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=705306&name=regal-smoked-salmon-nz-king-sliced
Cadbury Hollow Egg Humpty Dumpty,$ 1 90,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=967463&name=cadbury-hollow-egg-humpty-dumpty
Multix Greener Baking Paper Brown,$ 3 99,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=686258&name=multix-greener-baking-paper-brown
Speight'S Summit Beer Lager Ultra Low Carb,$ 40 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=190443&name=speights-summit-beer-lager-ultra-low-carb
Woolworths Frozen Mixed Berries,$ 7 40,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=260010&name=woolworths-frozen-mixed-berries
Mainland Cheese Edam,$ 10 99,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=281914&name=mainland-cheese-edam
Titan Paper Towels White,$ 3 20,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=828817&name=titan-paper-towels-white
Cadbury Easter Egg Large Hollow Dairy Milk,$ 5 00,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=69782&name=cadbury-easter-egg-large-hollow-dairy-milk
Sea Cuisine Prawns Raw Cutlets,$ 23 00,Fish & Seafood,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=289020&name=sea-cuisine-prawns-raw-cutlets
Mainland Cheese Tasty,$ 17 00,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=33532&name=mainland-cheese-tasty
Heineken Beer Lager,$ 53 79,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=702344&name=heineken-beer-lager
Easy Eats Frozen Meal Southern Fried Chicken Toppa,$ 10 00,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=333362&name=easy-eats-frozen-meal-southern-fried-chicken-toppa
Regal Smoked Salmon Sliced 2 X 50g Pks,$ 12 50,Fish & Seafood,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=705245&name=regal-smoked-salmon-sliced-2-x-50g-pks
Essentials Foil Aluminium,$ 3 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=18324&name=essentials-foil-aluminium
Woolworths Hot Cross Buns Traditional Fruit,$ 5 00,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=285383&name=woolworths-hot-cross-buns-traditional-fruit
Mainland Cheese Slices Tasty,$ 5 99,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=86937&name=mainland-cheese-slices-tasty
The Ned Pinot Gris,$ 16 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=916338&name=the-ned-pinot-gris
Glad Snaplock Plastic Bags Sandwich 170x180mm,$ 2 80,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=268818&name=glad-snaplock-plastic-bags-sandwich-170x180mm
Woolworths Frozen Blueberries,$ 12 40,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=586516&name=woolworths-frozen-blueberries
Tip Top Super Soft Toast Bread White,$ 3 97,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=275582&name=tip-top-super-soft-toast-bread-white
Cadbury Crunchie Easter Egg Hollow,$ 5 00,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=69790&name=cadbury-crunchie-easter-egg-hollow
Regal Epicurean Smoked Salmon Hot Smoked Natural,$ 11 00,Fish & Seafood,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=89766&name=regal-epicurean-smoked-salmon-hot-smoked-natural
Duck Toilet Shield Toilet Cleaner Ocean Burst,$ 3 70,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=21633&name=duck-toilet-shield-toilet-cleaner-ocean-burst
Fickle Mistress Rose,$ 15 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=532944&name=fickle-mistress-rose
Leader Brand Fish Cakes,$ 8 00,Fish & Seafood,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=121087&name=leader-brand-fish-cakes
Cadbury Creme Egg 240g,$ 6 90,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=250929&name=cadbury-creme-egg-240g
Molenberg Toast Bread Original,$ 3 99,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=275585&name=molenberg-toast-bread-original
Woolworths Chicken Nuggets Battered,$ 11 00,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=430564&name=woolworths-chicken-nuggets-battered
Surf Laundry Powder 5 In 1 Tropical,$ 6 49,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=840479&name=surf-laundry-powder-5-in-1-tropical
Lindt Easter Bunny Gold,$ 2 00,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=777129&name=lindt-easter-bunny-gold
Peroni Nastra Azzurro Beer Lager,$ 32 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=322459&name=peroni-nastra-azzurro-beer-lager
Woolworths Fresh NZ Fish Fillets Tarakihi 1-3 Pce Tray,$ 44 50 kg,Fish & Seafood,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=76769&name=woolworths-fresh-nz-fish-fillets-tarakihi-1-3-pce-tray
Woolworths Frozen Mixed Vegetables,$ 3 70,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=897151&name=woolworths-frozen-mixed-vegetables
Lindt Gold Easter Bunny Milk Chocolate,$ 7 90,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=663632&name=lindt-gold-easter-bunny-milk-chocolate
