Name,Price,Category,Shop,Link
Pepperjack Shiraz Barossa,$ 20 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=144469&name=pepperjack-shiraz-barossa
Woolworths Beef Burger Patties Minis,$ 8 00,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=320951&name=woolworths-beef-burger-patties-minis
Makikihi Premium Fries Crinkle Cut,$ 11 00,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=555386&name=makikihi-premium-fries-crinkle-cut
Surv Foil Tray Bbq Medium,$ 5 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=235255&name=surv-foil-tray-bbq-medium
Original Foods Cake Goofy Chocolate Bar,$ 7 90,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=579098&name=original-foods-cake-goofy-chocolate-bar
Fresh Fruit Honeydew Melon Whole,$ 8 00,Fruit & Veg,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=142851&name=fresh-fruit-honeydew-melon-whole
Cadbury Marshmallow Eggs Buzz Bar,$ 8 00,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=75529&name=cadbury-marshmallow-eggs-buzz-bar
Anchor Cream Plain Thickened,$ 4 30,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=157017&name=anchor-cream-plain-thickened
Eco Serviettes Lunch White 2ply,$ 3 50,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=789403&name=eco-serviettes-lunch-white-2ply
Mt Difficulty Roaring Meg Pinot Gris,$ 22 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=705149&name=mt-difficulty-roaring-meg-pinot-gris
Woolworths Beef Short Ribs,$ 23 90 kg,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=311482&name=woolworths-beef-short-ribs
Quorn Vegetarian Meal Meat & Soy Free Mince,$ 8 00,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=349163&name=quorn-vegetarian-meal-meat-soy-free-mince
Bakeworks Bread Rolls Gluten Free Torpedo,$ 4 50,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=783768&name=bakeworks-bread-rolls-gluten-free-torpedo
Fresh Herb Mint Living Plant,$ 4 00,Fruit & Veg,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=280561&name=fresh-herb-mint-living-plant
Mac'S Three Wolves Craft Beer Pale Ale,$ 23 00,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=598550&name=macs-three-wolves-craft-beer-pale-ale
The Collective Greek Probiotic Yoghurt Tub Vanilla Bean,$ 8 49,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=134143&name=the-collective-greek-probiotic-yoghurt-tub-vanilla-bean
Beak & Sons Sweet & Sour Pork Heat & Eat,$ 13 50,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=335467&name=beak-sons-sweet-sour-pork-heat-eat
Earthwise Laundry Liquid Orange & Eucalyptus,$ 16 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=504130&name=earthwise-laundry-liquid-orange-eucalyptus
Streets Calippo Ice Blocks Orange Lemon Lime Minis 575ml,$ 8 00,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=215441&name=streets-calippo-ice-blocks-orange-lemon-lime-minis-575ml
Kingfisher Beer Strong,$ 18 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=982618&name=kingfisher-beer-strong
Fresh Vegetable Pumpkin Butternut Whole,$ 6 50,Fruit & Veg,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=206416&name=fresh-vegetable-pumpkin-butternut-whole
Woolworths Cake Red Velvet Triple Layered,$ 12 00,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=510738&name=woolworths-cake-red-velvet-triple-layered
Tatua Mousse Chocolate,$ 5 49,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=282812&name=tatua-mousse-chocolate
Fresh N Fruity Yoghurt Tub Apricot 40% Less Added Sugar,$ 7 15,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=61980&name=fresh-n-fruity-yoghurt-tub-apricot-40-less-added-sugar
Hellers Saveloys Smoked,$ 8 90,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=399844&name=hellers-saveloys-smoked
Chux Dish Brush Dish Wand,$ 4 90,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=673717&name=chux-dish-brush-dish-wand
Woolworths Ice Cream Chocolate,$ 6 30,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=235129&name=woolworths-ice-cream-chocolate
Makaraka Estate Merlot,$ 9 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=725865&name=makaraka-estate-merlot
Woolworths Bread Rolls Rustic,$ 4 40,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=346043&name=woolworths-bread-rolls-rustic
Toscano Macarons French Mixed,$ 13 00,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=854648&name=toscano-macarons-french-mixed
Anchor Milk Lite 98.5% Fat Free,$ 3 08,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=282849&name=anchor-milk-lite-985-fat-free
Leaning Tower Pronto Pizza Hawaiian,$ 1 60,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=316834&name=leaning-tower-pronto-pizza-hawaiian
Woolworths NZ Beef T-Bone Steak Grass Fed Small Tray 0.25-0.65kg 1pc,$ 35 90 kg,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=67827&name=woolworths-nz-beef-t-bone-steak-grass-fed-small-tray
Finish Power Essential Dishwasher Tablets Lemon,$ 10 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=224308&name=finish-power-essential-dishwasher-tablets-lemon
Cadbury Easter Eggs Dairy Milk Hunting Eggs 204g,$ 9 00,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=407315&name=cadbury-easter-eggs-dairy-milk-hunting-eggs-204g
Emerson'S Craft Beer Pilsner Lager,$ 23 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=542871&name=emersons-craft-beer-pilsner-lager
Venerdi Toast Bread Six Seed Gluten Free,$ 10 79,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=275235&name=venerdi-toast-bread-six-seed-gluten-free
Tip Top Trumpet Ice Cream On Cone Vegan Boysenberry,$ 8 99,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=54284&name=tip-top-trumpet-ice-cream-on-cone-vegan-boysenberry
Villa Mediterranean Margherita Layered Dip,$ 4 40,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=744247&name=villa-mediterranean-margherita-layered-dip
Ajax Spray N Wipe Multipurpose Cleaning Spray Refill Lavender Citrus,$ 5 50,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=339366&name=ajax-spray-n-wipe-multipurpose-cleaning-spray-refill-lavender-citrus
Woolworths NZ Beef Strips Bulgogi,$ 14 00,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=259424&name=woolworths-nz-beef-strips-bulgogi
Pure Blonde Beer Lager Ultra Low Carb,$ 22 00,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=326002&name=pure-blonde-beer-lager-ultra-low-carb
Lindauer Classic Sparkling Summer Blush,$ 16 49,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=769312&name=lindauer-classic-sparkling-summer-blush
Woolworths Raspberry Buns Cream Fingers,$ 3 50,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=429825&name=woolworths-raspberry-buns-cream-fingers
"Bulla Splits Ice Blocks Raspberry, Lemon & Lime, Mango",$ 9 50,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=140646&name=bulla-splits-ice-blocks-raspberry-lemon-lime-mango
Hellers Rasher Bacon,$ 14 40,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=83834&name=hellers-rasher-bacon
Riverside Farm Duck Fat Rendered,$ 6 00,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=971578&name=riverside-farm-duck-fat-rendered
Ziploc Snack Bags,$ 4 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=278673&name=ziploc-snack-bags
Mac'S Apparition Craft Beer Hazy Ipa,$ 18 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=89208&name=macs-apparition-craft-beer-hazy-ipa
Food Guru Can Opener Wing,$ 5 00,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=638557&name=food-guru-can-opener-wing
Home St Sliced Loaf Keto Gluten Free Low Carb,$ 11 70,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=867683&name=home-st-sliced-loaf-keto-gluten-free-low-carb
Patties Sausage Rolls Original Beef,$ 7 50,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=30748&name=patties-sausage-rolls-original-beef
Inghams Chicken Livers,$ 6 35,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=290382&name=inghams-chicken-livers
Westgold Butter Salted,$ 6 99,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=504592&name=westgold-butter-salted
Persil Front & Top Loader Laundry Liquid Sensitive,$ 30 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=852459&name=persil-front-top-loader-laundry-liquid-sensitive
Thornbury Pinot Gris,$ 13 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=767788&name=thornbury-pinot-gris
Tasti Ginger Preserved,$ 4 90,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=274748&name=tasti-ginger-preserved
Woolworths Cake Lemon Ring,$ 9 30,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=384964&name=woolworths-cake-lemon-ring
On The Menu Frozen Meal Beef Lasagne,$ 14 00,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=761023&name=on-the-menu-frozen-meal-beef-lasagne
Beak & Sons Beef Brisket Bourbon,$ 25 00,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=875695&name=beak-sons-beef-brisket-bourbon
Meadow Fresh Sour Cream,$ 7 79,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=281635&name=meadow-fresh-sour-cream
Persil Front & Top Loader Laundry Powder Ultimate,$ 34 99,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=468317&name=persil-front-top-loader-laundry-powder-ultimate
Wither Hills Early Light Pinot Gris Low Alcohol,$ 16 49,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=942398&name=wither-hills-early-light-pinot-gris-low-alcohol
Greggs Whole Cloves,$ 2 40,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=265363&name=greggs-whole-cloves
Woolworths Mini Pastries Cheese & Chives,$ 6 10,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=652116&name=woolworths-mini-pastries-cheese-chives
Woolworths Shortcrust Pastry 1kg,$ 6 20,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=763596&name=woolworths-shortcrust-pastry-1kg
Plan*T Crispy Chicken Burger Patties Plant Based,$ 10 00,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=161076&name=plant-crispy-chicken-burger-patties-plant-based
Cyclops Greek Yoghurt Natural,$ 6 00,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=252236&name=cyclops-greek-yoghurt-natural
Drano Drain Cleaner Bathroom Max Gel,$ 16 50,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=151702&name=drano-drain-cleaner-bathroom-max-gel
19 Crimes Cabernet Sauvignon,$ 15 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=465065&name=19-crimes-cabernet-sauvignon
Shingle Peak Sauvignon Blanc,$ 12 99,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=136433&name=shingle-peak-sauvignon-blanc
Woolworths Cake Loaf Sweet Date,$ 6 40,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=678897&name=woolworths-cake-loaf-sweet-date
Pedigree Dentastix Medium Dog Dog Treats Daily Dental Care,$ 6 49,Pet,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=206801&name=pedigree-dentastix-medium-dog-dog-treats-daily-dental-care
Kapiti Ice Cream On Stick Boysenberry Minis,$ 10 30,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=335594&name=kapiti-ice-cream-on-stick-boysenberry-minis
Silver Fern Farms Venison Minute Steaks,$ 16 00,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=124828&name=silver-fern-farms-venison-minute-steaks
Glade Shake N Vac Carpet Care Deodoriser Summer Ess Powder,$ 8 49,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=129701&name=glade-shake-n-vac-carpet-care-deodoriser-summer-ess-powder
Primo Chorizo,$ 6 00,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=779107&name=primo-chorizo
Scape Goat Cider Pear,$ 16 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=990906&name=scape-goat-cider-pear
Greggs Ground Cloves,$ 2 40,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=265306&name=greggs-ground-cloves
Woolworths Cookies Salted Caramel White Chocolate,$ 4 30,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=822190&name=woolworths-cookies-salted-caramel-white-chocolate
Woolworths Surimi Mix,$ 10 99,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=690880&name=woolworths-surimi-mix
Smitten Wet Cat Food Chunky Sardines,$ 2 10,Pet,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=481177&name=smitten-wet-cat-food-chunky-sardines
Kleenex Tissues White,$ 5 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=193613&name=kleenex-tissues-white
Ornelle Parmesan Cheese Shaved,$ 5 20,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=281738&name=ornelle-parmesan-cheese-shaved
Woolworths NZ Lamb Rack Grass Fed Skin On,$ 46 90 kg,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=66423&name=woolworths-nz-lamb-rack-grass-fed-skin-on
Steinlager Pure Beer Lager,$ 30 80,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=910533&name=steinlager-pure-beer-lager
Woolworths Olives Marinated Selection,$ 5 80,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=561194&name=woolworths-olives-marinated-selection
Woolworths Ciabatta Meatlovers Tear N Share,$ 8 30,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=674700&name=woolworths-ciabatta-meatlovers-tear-n-share
Farmers Market Wet Dog Food Chicken Carrot & Peas,$ 3 50,Pet,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=854590&name=farmers-market-wet-dog-food-chicken-carrot-peas
Tip Top Jelly Tip Ice Cream On Stick Minis,$ 7 50,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=269709&name=tip-top-jelly-tip-ice-cream-on-stick-minis
Ecostore Dishwash Liquid Fragrance Free,$ 4 79,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=742382&name=ecostore-dishwash-liquid-fragrance-free
Dairyworks Haloumi Cheese,$ 7 50,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=250772&name=dairyworks-haloumi-cheese
Sprout Snow Pea,$ 3 80,Fruit & Veg,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=127101&name=sprout-snow-pea
Woolworths NZ Stir Fry Pork Free Farmed,$ 11 90,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=259488&name=woolworths-nz-stir-fry-pork-free-farmed
Sacred Hill Chardonnay Hawkes Bay,$ 13 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=911178&name=sacred-hill-chardonnay-hawkes-bay
Glad Bbq Foil Tray 28 X 18 X 5cm,$ 7 90,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=707794&name=glad-bbq-foil-tray-28-x-18-x-5cm
Friskies Dry Cat Food Seven Favourites,$ 26 00,Pet,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=807518&name=friskies-dry-cat-food-seven-favourites
Original Foods Slice Bar Call Me Ginger,$ 7 90,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=578741&name=original-foods-slice-bar-call-me-ginger
Sea Cuisine Shrimps Cooked & Peeled,$ 11 00,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=353549&name=sea-cuisine-shrimps-cooked-peeled
Ajax Cream Cleanser Baking Soda,$ 3 50,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=224646&name=ajax-cream-cleanser-baking-soda
Country Goodness Dip Kiwi Onion,$ 4 69,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=274389&name=country-goodness-dip-kiwi-onion
Just Foods Crushed Garlic Organic,$ 3 90,Fruit & Veg,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=819378&name=just-foods-crushed-garlic-organic
Bird & Barrow Free Range Chicken Schnitzel Rosemary Ciabatta Crumb,$ 9 90,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=125166&name=bird-barrow-free-range-chicken-schnitzel-rosemary-ciabatta-crumb
Stoneleigh Pinot Noir,$ 17 79,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=902460&name=stoneleigh-pinot-noir
Purina One Wet Cat Food Coat & Hairball,$ 13 00,Pet,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=100735&name=purina-one-wet-cat-food-coat-hairball
Woolworths Liquid Honey,$ 8 90,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=191037&name=woolworths-liquid-honey
Woolworths Sponged Cake White Plain,$ 6 30,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=286411&name=woolworths-sponged-cake-white-plain
Air Wick Pure Air Freshener Spray White Vanilla,$ 6 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=82993&name=air-wick-pure-air-freshener-spray-white-vanilla
Huggies Little Swimmers Swimpants Medium (11-15kg),$ 14 00,Baby & Child,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=106658&name=huggies-little-swimmers-swimpants-medium-11-15kg
Mrs Greens Croutons Butter & Garlic,$ 3 50,Fruit & Veg,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=141370&name=mrs-greens-croutons-butter-garlic
Tegel Free Range Chicken Schnitzel Crumbed Gluten Free,$ 11 00,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=306360&name=tegel-free-range-chicken-schnitzel-crumbed-gluten-free
Anchor A2 Milk Standard Blue,$ 6 79,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=803032&name=anchor-a2-milk-standard-blue
Sunfed Bull Free Beef Meat Alternative Diced Steak,$ 10 00,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=345875&name=sunfed-bull-free-beef-meat-alternative-diced-steak
Naked Owl Chardonnay,$ 12 70,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=695447&name=naked-owl-chardonnay
Kaye'S Biscuits Real Mccoy Anzac,$ 4 80,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=285561&name=kayes-biscuits-real-mccoy-anzac
Vitapet Pet Milk,$ 3 80,Pet,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=784954&name=vitapet-pet-milk
Verkerks Epicurean Salami Sliced Gouda,$ 5 80,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=436226&name=verkerks-epicurean-salami-sliced-gouda
Biopak Spoons 16cm Wooden,$ 1 70,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=160117&name=biopak-spoons-16cm-wooden
Ecostore Baby Body Wash & Shampoo Foaming,$ 6 00,Baby & Child,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=37479&name=ecostore-baby-body-wash-shampoo-foaming
Fresh N Fruity Yoghurt 6pk Strawberry,$ 5 20,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=113939&name=fresh-n-fruity-yoghurt-6pk-strawberry
Fresh Fruit Pineapple Cut Pieces,$ 9 90,Fruit & Veg,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=67914&name=fresh-fruit-pineapple-cut-pieces
"Bundaberg Lemon, Lime & Bitters",$ 8 00,Drinks,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=884260&name=bundaberg-lemon-lime-bitters
Much Moore Awesome Ice Cream Hokey Pokey,$ 7 49,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=117705&name=much-moore-awesome-ice-cream-hokey-pokey
Macro Free Range NZ Sausages Chicken & Herb,$ 9 50,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=334001&name=macro-free-range-nz-sausages-chicken-herb
Minchinbury Sparkling Brut Classic Crisp,$ 11 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=760510&name=minchinbury-sparkling-brut-classic-crisp
Home St Pizza Bases Keto 342g,$ 11 70,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=54247&name=home-st-pizza-bases-keto-342g
Iams Kitten Dry Cat Food Chicken,$ 19 90,Pet,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=52376&name=iams-kitten-dry-cat-food-chicken
Shore Mariner Samosas,$ 7 00,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=402275&name=shore-mariner-samosas
Mortein Naturgard Automatic Insect Control System,$ 15 00,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=545463&name=mortein-naturgard-automatic-insect-control-system
Baby Steps Goat Milk Stage 2 Follow-On Formula From 6-12 Months,$ 39 80,Baby & Child,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=223979&name=baby-steps-goat-milk-stage-2-follow-on-formula-from-6-12-months
Perfect Ricotta Cheese Original,$ 5 90,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=97321&name=perfect-ricotta-cheese-original
Fresh Vegetable Cabbage Savoy Whole,$ 4 99,Fruit & Veg,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=135029&name=fresh-vegetable-cabbage-savoy-whole
Mccain Super Fries Steak Cut,$ 5 50,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=662932&name=mccain-super-fries-steak-cut
Woolworths NZ Beef Scotch Fillet Steak Angus Grass Fed 0.2-0.5kg 1pc,$ 44 50 kg,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=67789&name=woolworths-nz-beef-scotch-fillet-steak-angus-grass-fed
Coca Cola Soft Drink Raspberry Zero Sugar,$ 8 49,Drinks,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=257457&name=coca-cola-soft-drink-raspberry-zero-sugar
Church Road Merlot Cabernet Sauvignon,$ 16 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=910786&name=church-road-merlot-cabernet-sauvignon
Toscano Bread Rolls Classic French Brioche,$ 7 00,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=708948&name=toscano-bread-rolls-classic-french-brioche
Vitapet Jerhigh Dog Treats Chicken & Veggie Sticks,$ 5 20,Pet,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=787122&name=vitapet-jerhigh-dog-treats-chicken-veggie-sticks
Donovans Chocolate Sharepack Coconut Clusters,$ 5 30,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=610342&name=donovans-chocolate-sharepack-coconut-clusters
Fresh Fruit Mandarins Prepacked,$ 6 00,Fruit & Veg,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=799477&name=fresh-fruit-mandarins-prepacked
Ziploc Freezer Bags Large,$ 4 50,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=232128&name=ziploc-freezer-bags-large
Silk Baby Oil,$ 2 80,Baby & Child,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=416617&name=silk-baby-oil
"Juicy Dumplings Pork, Chive & Prawn",$ 12 00,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=322955&name=juicy-dumplings-pork-chive-prawn
Meadow Fresh Calci Strong Flavoured Milk Chocolate,$ 6 19,Fridge & Deli,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=792941&name=meadow-fresh-calci-strong-flavoured-milk-chocolate
Pepsi Max Soft Drink No Sugar,$ 22 00,Drinks,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=390874&name=pepsi-max-soft-drink-no-sugar
Woolworths Cook NZ Lamb Rump Rosemary & Honey 0.17-0.55kg,$ 39 20 kg,Meat & Poultry,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=93432&name=woolworths-cook-nz-lamb-rump-rosemary-honey
Toscano Brioche Chocolate Chip Rolls,$ 7 00,Bakery,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=709008&name=toscano-brioche-chocolate-chip-rolls
Robert Mondavi Chardonnay Bourbon Barrel-Aged,$ 20 00,Beer & Wine,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=663985&name=robert-mondavi-chardonnay-bourbon-barrel-aged
Fancy Feast Savory Centers Wet Cat Food Tuna Pate,$ 2 40,Pet,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=63724&name=fancy-feast-savory-centers-wet-cat-food-tuna-pate
Verkerks Epicurean Salami Sliced Dulce Chorizo,$ 5 80,Easter,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=436223&name=verkerks-epicurean-salami-sliced-dulce-chorizo
Ziploc Sandwich Bags,$ 7 90,Household,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=161612&name=ziploc-sandwich-bags
Karicare Soy Baby Infant Formula From Birth To 12 Months,$ 27 99,Baby & Child,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=87983&name=karicare-soy-baby-infant-formula-from-birth-to-12-months
Mccain Quick Cook Crunchy Fries Crinkle Cut,$ 4 50,Frozen,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=325361&name=mccain-quick-cook-crunchy-fries-crinkle-cut
Superb Herb Fresh Vegetable Kaffir Lime Fresh Leaves,$ 4 00,Fruit & Veg,Countdown,https://www.countdown.co.nz/shop/productdetails?stockcode=752751&name=superb-herb-fresh-vegetable-kaffir-lime-fresh-leaves
